InvoiceNo,StockCode,Description,HasBlankDescription,Table1 - Modified.DescriptionStatus,Table1 - Modified.PriceVarianceFlag,IsDescriptionUnrecoverable,IsMultiVariantCode
543472,22451,SILK PURSE BABUSHKA RED,TRUE,Auto Accept,FALSE,FALSE,FALSE
547524,22451,SILK PURSE BABUSHKA RED,TRUE,Auto Accept,FALSE,FALSE,FALSE
548001,22451,SILK PURSE BABUSHKA RED,TRUE,Auto Accept,FALSE,FALSE,FALSE
551458,22451,SILK PURSE BABUSHKA RED,TRUE,Auto Accept,FALSE,FALSE,FALSE
544072,22837,HOT WATER BOTTLE BABUSHKA,TRUE,Auto Accept,FALSE,FALSE,FALSE
569924,22837,HOT WATER BOTTLE BABUSHKA,TRUE,Auto Accept,FALSE,FALSE,FALSE
544344,22865,HAND WARMER OWL DESIGN,TRUE,Auto Accept,FALSE,FALSE,FALSE
547344,22838,3 TIER CAKE TIN RED AND CREAM,TRUE,Auto Accept,FALSE,FALSE,FALSE
556933,22783,SET 3 WICKER OVAL BASKETS W LIDS,TRUE,Auto Accept,FALSE,FALSE,FALSE
546026,90200C,BLUE SWEETHEART BRACELET,TRUE,Auto Accept,FALSE,FALSE,FALSE
550926,22469,HEART OF WICKER SMALL,TRUE,Auto Accept,FALSE,FALSE,FALSE
546244,21484,CHICK GREY HOT WATER BOTTLE,TRUE,Auto Accept,FALSE,FALSE,FALSE
550929,22470,HEART OF WICKER LARGE,TRUE,Auto Accept,FALSE,FALSE,FALSE
546666,79321,CHILLI LIGHTS,TRUE,Auto Accept,FALSE,FALSE,FALSE
548195,79321,CHILLI LIGHTS,TRUE,Auto Accept,FALSE,FALSE,FALSE
548220,79321,CHILLI LIGHTS,TRUE,Auto Accept,FALSE,FALSE,FALSE
549500,79321,CHILLI LIGHTS,TRUE,Auto Accept,FALSE,FALSE,FALSE
549494,22168,ORGANISER WOOD ANTIQUE WHITE,TRUE,Auto Accept,FALSE,FALSE,FALSE
556430,22968,ROSE COTTAGE KEEPSAKE BOX,TRUE,Auto Accept,FALSE,FALSE,FALSE
564926,22968,ROSE COTTAGE KEEPSAKE BOX,TRUE,Auto Accept,FALSE,FALSE,FALSE
547957,20713,JUMBO BAG OWLS,TRUE,Auto Accept,FALSE,FALSE,FALSE
547959,20713,JUMBO BAG OWLS,TRUE,Auto Accept,FALSE,FALSE,FALSE
548207,20713,JUMBO BAG OWLS,TRUE,Auto Accept,FALSE,FALSE,FALSE
548383,84906,,TRUE,Manual Review,TRUE,FALSE,TRUE
554831,84906,,TRUE,Manual Review,TRUE,FALSE,TRUE
576192,22827,RUSTIC  SEVENTEEN DRAWER SIDEBOARD,TRUE,Auto Accept,FALSE,FALSE,FALSE
556180,22502,PICNIC BASKET WICKER SMALL,TRUE,Auto Accept,TRUE,FALSE,FALSE
561660,22502,PICNIC BASKET WICKER SMALL,TRUE,Auto Accept,TRUE,FALSE,FALSE
561666,22502,PICNIC BASKET WICKER SMALL,TRUE,Auto Accept,TRUE,FALSE,FALSE
565543,22502,PICNIC BASKET WICKER SMALL,TRUE,Auto Accept,TRUE,FALSE,FALSE
574101,22180,RETROSPOT LAMP,TRUE,Auto Accept,FALSE,FALSE,FALSE
563449,85152,HAND OVER THE CHOCOLATE   SIGN,TRUE,Auto Accept,FALSE,FALSE,FALSE
549138,22988,SOLDIERS EGG CUP,TRUE,Auto Accept,FALSE,FALSE,FALSE
550930,22988,SOLDIERS EGG CUP,TRUE,Auto Accept,FALSE,FALSE,FALSE
571719,22729,ALARM CLOCK BAKELIKE ORANGE,TRUE,Auto Accept,FALSE,FALSE,FALSE
550928,22867,HAND WARMER BIRD DESIGN,TRUE,Auto Accept,FALSE,FALSE,FALSE
579500,22810,SET OF 6 T-LIGHTS SNOWMEN,TRUE,Auto Accept,FALSE,FALSE,FALSE
551322,85099F,JUMBO BAG STRAWBERRY,TRUE,Auto Accept,FALSE,FALSE,FALSE
554148,20966,SANDWICH BATH SPONGE,TRUE,Auto Accept,FALSE,FALSE,FALSE
558343,84709B,PINK OVAL JEWELLED MIRROR,TRUE,Auto Accept,FALSE,FALSE,FALSE
569541,21587,COSY HOUR GIANT TUBE MATCHES,TRUE,Auto Accept,FALSE,FALSE,FALSE
553717,22087,PAPER BUNTING WHITE LACE,TRUE,Auto Accept,FALSE,FALSE,FALSE
565797,47570B,TEA TIME TABLE CLOTH,TRUE,Auto Accept,FALSE,FALSE,FALSE
563445,85049D,BRIGHT BLUES RIBBONS,TRUE,Auto Accept,FALSE,FALSE,FALSE
569934,85049D,BRIGHT BLUES RIBBONS,TRUE,Auto Accept,FALSE,FALSE,FALSE
576258,22812,PACK 3 BOXES CHRISTMAS PANNETONE,TRUE,Manual Review,TRUE,FALSE,FALSE
576302,22812,PACK 3 BOXES CHRISTMAS PANNETONE,TRUE,Manual Review,TRUE,FALSE,FALSE
579272,22812,PACK 3 BOXES CHRISTMAS PANNETONE,TRUE,Manual Review,TRUE,FALSE,FALSE
578340,22568,FELTCRAFT CUSHION OWL,TRUE,Auto Accept,FALSE,FALSE,FALSE
561497,21609,SET 12 LAVENDER  BOTANICAL T-LIGHTS,TRUE,Auto Accept,FALSE,FALSE,FALSE
577251,72802C,VANILLA SCENT CANDLE JEWELLED BOX,TRUE,Auto Accept,FALSE,FALSE,FALSE
578693,21811,HANGING HEART WITH BELL,TRUE,Manual Review,TRUE,FALSE,FALSE
570519,21244,BLUE POLKADOT PLATE,TRUE,Auto Accept,FALSE,FALSE,FALSE
571721,21738,COSY SLIPPER SHOES SMALL  RED,TRUE,Auto Accept,FALSE,FALSE,FALSE
570120,22570,FELTCRAFT CUSHION RABBIT,TRUE,Auto Accept,FALSE,FALSE,FALSE
576662,22570,FELTCRAFT CUSHION RABBIT,TRUE,Auto Accept,FALSE,FALSE,FALSE
577340,22570,FELTCRAFT CUSHION RABBIT,TRUE,Auto Accept,FALSE,FALSE,FALSE
563568,20774,GREEN FERN NOTEBOOK,TRUE,Auto Accept,FALSE,FALSE,FALSE
571688,22149,FELTCRAFT 6 FLOWER FRIENDS,TRUE,Auto Accept,FALSE,FALSE,FALSE
565047,21257,VICTORIAN SEWING BOX MEDIUM,TRUE,Auto Accept,FALSE,FALSE,FALSE
569375,22829,SWEETHEART WIRE WALL TIDY,TRUE,Auto Accept,FALSE,FALSE,FALSE
572716,22829,SWEETHEART WIRE WALL TIDY,TRUE,Auto Accept,FALSE,FALSE,FALSE
569540,21586,KINGS CHOICE GIANT TUBE MATCHES,TRUE,Auto Accept,FALSE,FALSE,FALSE
571198,21190,PINK HEARTS PAPER GARLAND,TRUE,Auto Accept,FALSE,FALSE,FALSE
572700,72818,CHRISTMAS DECOUPAGE CANDLE,TRUE,Auto Accept,FALSE,FALSE,FALSE
580580,21804,WHITE CHRISTMAS GARLAND STARS TREES,TRUE,Auto Accept,TRUE,FALSE,FALSE
548637,84596E,SMALL LICORICE DES PINK BOWL,TRUE,Auto Accept,FALSE,FALSE,FALSE
540011,22501,PICNIC BASKET WICKER LARGE,TRUE,Auto Accept,FALSE,FALSE,FALSE
555390,22501,PICNIC BASKET WICKER LARGE,TRUE,Auto Accept,FALSE,FALSE,FALSE
555402,22501,PICNIC BASKET WICKER LARGE,TRUE,Auto Accept,FALSE,FALSE,FALSE
562714,22501,PICNIC BASKET WICKER LARGE,TRUE,Auto Accept,FALSE,FALSE,FALSE
549151,21664,RIDGED GLASS STORAGE JAR CREAM LID,TRUE,Auto Accept,FALSE,FALSE,FALSE
570709,21098,CHRISTMAS TOILET ROLL,TRUE,Auto Accept,FALSE,FALSE,FALSE
578629,22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,TRUE,Auto Accept,FALSE,FALSE,FALSE
547527,21826,EIGHT PIECE DINOSAUR SET,TRUE,Auto Accept,FALSE,FALSE,FALSE
547626,20973,12 PENCIL SMALL TUBE WOODLAND,TRUE,Auto Accept,FALSE,FALSE,FALSE
565545,20973,12 PENCIL SMALL TUBE WOODLAND,TRUE,Auto Accept,FALSE,FALSE,FALSE
551460,22173,METAL 4 HOOK HANGER FRENCH CHATEAU,TRUE,Auto Accept,FALSE,FALSE,FALSE
579880,22947,WOODEN ADVENT CALENDAR RED,TRUE,Auto Accept,FALSE,FALSE,FALSE
547526,22627,MINT KITCHEN SCALES,TRUE,Auto Accept,FALSE,FALSE,FALSE
548639,22627,MINT KITCHEN SCALES,TRUE,Auto Accept,FALSE,FALSE,FALSE
564925,21662,VINTAGE GLASS COFFEE CADDY,TRUE,Auto Accept,FALSE,FALSE,FALSE
563106,21658,GLASS  BEURRE DISH,TRUE,Auto Accept,FALSE,FALSE,FALSE
563105,22194,BLACK DINER WALL CLOCK,TRUE,Auto Accept,FALSE,FALSE,FALSE
570065,22688,DOORMAT PEACE ON EARTH BLUE,TRUE,Auto Accept,FALSE,FALSE,FALSE
576431,22688,DOORMAT PEACE ON EARTH BLUE,TRUE,Auto Accept,FALSE,FALSE,FALSE
538861,22444,GROW YOUR OWN PLANT IN A CAN,TRUE,Auto Accept,FALSE,FALSE,FALSE
547827,22444,GROW YOUR OWN PLANT IN A CAN,TRUE,Auto Accept,FALSE,FALSE,FALSE
556947,22444,GROW YOUR OWN PLANT IN A CAN,TRUE,Auto Accept,FALSE,FALSE,FALSE
576517,22121,NOEL WOODEN BLOCK LETTERS,TRUE,Auto Accept,FALSE,FALSE,FALSE
576777,22121,NOEL WOODEN BLOCK LETTERS,TRUE,Auto Accept,FALSE,FALSE,FALSE
577306,72817,SET OF 2 CHRISTMAS DECOUPAGE CANDLE,TRUE,Auto Accept,TRUE,FALSE,FALSE
581234,72817,SET OF 2 CHRISTMAS DECOUPAGE CANDLE,TRUE,Auto Accept,TRUE,FALSE,FALSE
538036,21690,SILVER  CANDLEPOT JARDIN,TRUE,Auto Accept,FALSE,FALSE,FALSE
542783,21690,SILVER  CANDLEPOT JARDIN,TRUE,Auto Accept,FALSE,FALSE,FALSE
560406,22088,PAPER BUNTING COLOURED LACE,TRUE,Auto Accept,FALSE,FALSE,FALSE
553480,21143,ANTIQUE GLASS HEART DECORATION,TRUE,Auto Accept,FALSE,FALSE,FALSE
559147,84944,SET OF 6 KASHMIR FOLKART BAUBLES,TRUE,Auto Accept,TRUE,FALSE,FALSE
561812,84944,SET OF 6 KASHMIR FOLKART BAUBLES,TRUE,Auto Accept,TRUE,FALSE,FALSE
569681,84944,SET OF 6 KASHMIR FOLKART BAUBLES,TRUE,Auto Accept,TRUE,FALSE,FALSE
565043,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,TRUE,Auto Accept,FALSE,FALSE,FALSE
569927,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,TRUE,Auto Accept,FALSE,FALSE,FALSE
543453,21429,RED GINGHAM ROSE JEWELLERY BOX,TRUE,Auto Accept,FALSE,FALSE,FALSE
551965,21429,RED GINGHAM ROSE JEWELLERY BOX,TRUE,Auto Accept,FALSE,FALSE,FALSE
577968,85135B,BLUE DRAGONFLY HELICOPTER,TRUE,Auto Accept,FALSE,FALSE,FALSE
575506,C2,CARRIAGE,TRUE,Auto Accept,FALSE,FALSE,FALSE
571718,21801,CHRISTMAS TREE DECORATION WITH BELL,TRUE,Auto Accept,FALSE,FALSE,FALSE
581102,21803,CHRISTMAS TREE STAR DECORATION,TRUE,Auto Accept,FALSE,FALSE,FALSE
576336,21809,CHRISTMAS HANGING TREE WITH BELL,TRUE,Auto Accept,FALSE,FALSE,FALSE
576547,21809,CHRISTMAS HANGING TREE WITH BELL,TRUE,Auto Accept,FALSE,FALSE,FALSE
550981,21911,GARDEN METAL SIGN,TRUE,Auto Accept,FALSE,FALSE,FALSE
571731,21911,GARDEN METAL SIGN,TRUE,Auto Accept,FALSE,FALSE,FALSE
560405,22080,RIBBON REEL POLKADOTS,TRUE,Auto Accept,FALSE,FALSE,FALSE
539749,22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,TRUE,Auto Accept,FALSE,FALSE,FALSE
549498,22847,BREAD BIN DINER STYLE IVORY,TRUE,Auto Accept,FALSE,FALSE,FALSE
540256,35957,SMALLFOLKART BAUBLE CHRISTMAS DEC,TRUE,Auto Accept,FALSE,FALSE,FALSE
543014,47591B,SCOTTIES CHILDRENS APRON,TRUE,Auto Accept,FALSE,FALSE,FALSE
580743,47591B,SCOTTIES CHILDRENS APRON,TRUE,Auto Accept,FALSE,FALSE,FALSE
572539,79030D,TUMBLER BAROQUE,TRUE,Manual Review,TRUE,FALSE,FALSE
559037,82583,HOT BATHS METAL SIGN,TRUE,Auto Accept,TRUE,FALSE,FALSE
560399,82583,HOT BATHS METAL SIGN,TRUE,Auto Accept,TRUE,FALSE,FALSE
564644,82583,HOT BATHS METAL SIGN,TRUE,Auto Accept,TRUE,FALSE,FALSE
554696,85016,SET OF 6 VINTAGE NOTELETS KIT,TRUE,Auto Accept,FALSE,FALSE,FALSE
574904,85017B,ENVELOPE 50 BLOSSOM IMAGES,TRUE,Auto Accept,FALSE,FALSE,FALSE
565070,85032D,YULETIDE IMAGES GIFT WRAP SET,TRUE,Auto Accept,FALSE,FALSE,FALSE
543782,85232B,SET OF 3 BABUSHKA STACKING TINS,TRUE,Auto Accept,FALSE,FALSE,FALSE
569935,90209B,GREEN ENAMEL+GLASS HAIR COMB,TRUE,Auto Accept,FALSE,FALSE,FALSE
547966,DOT,DOTCOM POSTAGE,TRUE,Auto Accept,FALSE,FALSE,FALSE
538143,84534B,FAIRY CAKE NOTEBOOK A5 SIZE,TRUE,Auto Accept,FALSE,FALSE,FALSE
540676,84534B,FAIRY CAKE NOTEBOOK A5 SIZE,TRUE,Auto Accept,FALSE,FALSE,FALSE
551691,18098C,PORCELAIN BUTTERFLY OIL BURNER,TRUE,Auto Accept,FALSE,FALSE,FALSE
564220,20684,STRAWBERRY DREAM CHILDS UMBRELLA,TRUE,Auto Accept,FALSE,FALSE,FALSE
538160,20956,PORCELAIN T-LIGHT HOLDERS ASSORTED,TRUE,Auto Accept,FALSE,FALSE,FALSE
554378,20975,12 PENCILS SMALL TUBE RED RETROSPOT,TRUE,Auto Accept,FALSE,FALSE,FALSE
556951,20975,12 PENCILS SMALL TUBE RED RETROSPOT,TRUE,Auto Accept,FALSE,FALSE,FALSE
560400,21069,VINTAGE BILLBOARD TEA MUG,TRUE,Auto Accept,FALSE,FALSE,FALSE
562215,21147,JINGLE BELLS TREE DECORATION,TRUE,Auto Accept,FALSE,FALSE,FALSE
574518,21174,POTTERING IN THE SHED METAL SIGN,TRUE,Auto Accept,FALSE,FALSE,FALSE
569135,21349,IVY HEART WREATH,TRUE,Auto Accept,FALSE,FALSE,FALSE
551692,84685,BEACH HUT KEY CABINET,TRUE,Auto Accept,FALSE,FALSE,FALSE
546141,79302M,"ART LIGHTS,FUNK MONKEY",TRUE,Auto Accept,FALSE,FALSE,FALSE
576299,21181,PLEASE ONE PERSON METAL SIGN,TRUE,Auto Accept,TRUE,FALSE,FALSE
578456,22579,WOODEN TREE CHRISTMAS SCANDINAVIAN,TRUE,Auto Accept,FALSE,FALSE,FALSE
578632,22579,WOODEN TREE CHRISTMAS SCANDINAVIAN,TRUE,Auto Accept,FALSE,FALSE,FALSE
580588,21808,"CHRISTMAS GARLAND STARS,TREES",TRUE,Auto Accept,FALSE,FALSE,FALSE
580197,22696,WICKER WREATH LARGE,TRUE,Auto Accept,FALSE,FALSE,FALSE
553745,84760S,SMALL HANGING GLASS+ZINC LANTERN,TRUE,Auto Accept,FALSE,FALSE,FALSE
546240,85045,GREEN CHRISTMAS TREE STRING 20LIGHT,TRUE,Auto Accept,FALSE,FALSE,FALSE
577966,85045,GREEN CHRISTMAS TREE STRING 20LIGHT,TRUE,Auto Accept,FALSE,FALSE,FALSE
539582,71477,COLOURED GLASS STAR T-LIGHT HOLDER,TRUE,Manual Review,FALSE,FALSE,FALSE
540694,71477,COLOURED GLASS STAR T-LIGHT HOLDER,TRUE,Manual Review,FALSE,FALSE,FALSE
542516,71477,COLOURED GLASS STAR T-LIGHT HOLDER,TRUE,Manual Review,FALSE,FALSE,FALSE
547394,71477,COLOURED GLASS STAR T-LIGHT HOLDER,TRUE,Manual Review,FALSE,FALSE,FALSE
581209,21620,SET OF 4 ROSE BOTANICAL CANDLES,TRUE,Auto Accept,FALSE,FALSE,FALSE
549376,17014A,ORIGAMI VANILLA INCENSE CONES,TRUE,Auto Accept,FALSE,FALSE,FALSE
559825,21067,VINTAGE RED TEATIME MUG,TRUE,Auto Accept,FALSE,FALSE,FALSE
560402,21067,VINTAGE RED TEATIME MUG,TRUE,Auto Accept,FALSE,FALSE,FALSE
565081,21067,VINTAGE RED TEATIME MUG,TRUE,Auto Accept,FALSE,FALSE,FALSE
569925,21067,VINTAGE RED TEATIME MUG,TRUE,Auto Accept,FALSE,FALSE,FALSE
560403,21272,SALLE DE BAIN HOOK,TRUE,Auto Accept,FALSE,FALSE,FALSE
564924,21272,SALLE DE BAIN HOOK,TRUE,Auto Accept,FALSE,FALSE,FALSE
549003,21279,VINTAGE KITCHEN PRINT FRUITS,TRUE,Auto Accept,FALSE,FALSE,FALSE
568548,21830,ASSORTED CREEPY CRAWLIES,TRUE,Auto Accept,FALSE,FALSE,FALSE
561282,21868,POTTING SHED TEA MUG,TRUE,Auto Accept,FALSE,FALSE,FALSE
564923,21868,POTTING SHED TEA MUG,TRUE,Auto Accept,FALSE,FALSE,FALSE
576509,21868,POTTING SHED TEA MUG,TRUE,Auto Accept,FALSE,FALSE,FALSE
553688,22078,RIBBON REEL LACE DESIGN,TRUE,Auto Accept,FALSE,FALSE,FALSE
557486,22084,PAPER CHAIN KIT EMPIRE,TRUE,Auto Accept,FALSE,FALSE,FALSE
559604,22084,PAPER CHAIN KIT EMPIRE,TRUE,Auto Accept,FALSE,FALSE,FALSE
560116,22084,PAPER CHAIN KIT EMPIRE,TRUE,Auto Accept,FALSE,FALSE,FALSE
563101,22084,PAPER CHAIN KIT EMPIRE,TRUE,Auto Accept,FALSE,FALSE,FALSE
564922,22084,PAPER CHAIN KIT EMPIRE,TRUE,Auto Accept,FALSE,FALSE,FALSE
567371,22084,PAPER CHAIN KIT EMPIRE,TRUE,Auto Accept,FALSE,FALSE,FALSE
569929,22084,PAPER CHAIN KIT EMPIRE,TRUE,Auto Accept,FALSE,FALSE,FALSE
551319,22459,CAST IRON HOOK GARDEN TROWEL,TRUE,Auto Accept,FALSE,FALSE,FALSE
556962,35965,FOLKART HEART NAPKIN RINGS,TRUE,Auto Accept,TRUE,FALSE,FALSE
557139,35965,FOLKART HEART NAPKIN RINGS,TRUE,Auto Accept,TRUE,FALSE,FALSE
557412,35965,FOLKART HEART NAPKIN RINGS,TRUE,Auto Accept,TRUE,FALSE,FALSE
558346,35965,FOLKART HEART NAPKIN RINGS,TRUE,Auto Accept,TRUE,FALSE,FALSE
561565,35965,FOLKART HEART NAPKIN RINGS,TRUE,Auto Accept,TRUE,FALSE,FALSE
567335,35965,FOLKART HEART NAPKIN RINGS,TRUE,Auto Accept,TRUE,FALSE,FALSE
567337,35965,FOLKART HEART NAPKIN RINGS,TRUE,Auto Accept,TRUE,FALSE,FALSE
575513,35965,FOLKART HEART NAPKIN RINGS,TRUE,Auto Accept,TRUE,FALSE,FALSE
576110,35965,FOLKART HEART NAPKIN RINGS,TRUE,Auto Accept,TRUE,FALSE,FALSE
571460,46775D,SUNSET COLOUR CHUNKY KNITTED THROW,TRUE,Auto Accept,FALSE,FALSE,FALSE
553729,82599,FANNY'S REST STOPMETAL SIGN,TRUE,Auto Accept,FALSE,FALSE,FALSE
545553,84459B,YELLOW METAL CHICKEN HEART,TRUE,Auto Accept,FALSE,FALSE,FALSE
549502,84459B,YELLOW METAL CHICKEN HEART,TRUE,Auto Accept,FALSE,FALSE,FALSE
552227,84596J,MIXED NUTS LIGHT GREEN BOWL,TRUE,Auto Accept,FALSE,FALSE,FALSE
568365,84663A,GRASS HOPPER WOODEN WALL CLOCK,TRUE,Auto Accept,FALSE,FALSE,FALSE
577972,84663A,GRASS HOPPER WOODEN WALL CLOCK,TRUE,Auto Accept,FALSE,FALSE,FALSE
550984,85008,SET OF 3 CONEY ISLAND OVAL BOXES,TRUE,Auto Accept,FALSE,FALSE,FALSE
565798,85232D,SET/3 DECOUPAGE STACKING TINS,TRUE,Auto Accept,FALSE,FALSE,FALSE
566762,85232D,SET/3 DECOUPAGE STACKING TINS,TRUE,Auto Accept,FALSE,FALSE,FALSE
568053,90209C,PINK ENAMEL+GLASS HAIR COMB,TRUE,Auto Accept,FALSE,FALSE,FALSE
569937,90209C,PINK ENAMEL+GLASS HAIR COMB,TRUE,Auto Accept,FALSE,FALSE,FALSE
560404,21472,LADYBIRD + BEE RAFFIA FOOD COVER,TRUE,Auto Accept,FALSE,FALSE,FALSE
536999,21421,PORCELAIN ROSE LARGE,TRUE,Auto Accept,FALSE,FALSE,FALSE
549145,21421,PORCELAIN ROSE LARGE,TRUE,Auto Accept,FALSE,FALSE,FALSE
547328,22272,FELTCRAFT DOLL MARIA,TRUE,Auto Accept,FALSE,FALSE,FALSE
570710,21918,SET 12 KIDS COLOUR  CHALK STICKS,TRUE,Auto Accept,FALSE,FALSE,FALSE
581408,85175,CACTI T-LIGHT CANDLES,TRUE,Auto Accept,FALSE,FALSE,FALSE
551669,21355,TOAST ITS - I LOVE YOU,TRUE,Auto Accept,FALSE,FALSE,FALSE
564915,21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,TRUE,Auto Accept,FALSE,FALSE,FALSE
550985,22777,GLASS CLOCHE LARGE,TRUE,Auto Accept,FALSE,FALSE,FALSE
564918,16046,TEATIME PEN CASE & PENS,TRUE,Auto Accept,FALSE,FALSE,FALSE
549497,21527,RED RETROSPOT TRADITIONAL TEAPOT,TRUE,Auto Accept,FALSE,FALSE,FALSE
552220,22202,MILK PAN PINK POLKADOT,TRUE,Auto Accept,FALSE,FALSE,FALSE
542507,20798,CLEAR MILKSHAKE GLASS,TRUE,Auto Accept,FALSE,FALSE,FALSE
536545,21134,,TRUE,,,TRUE,FALSE
536549,85226A,,TRUE,,,TRUE,FALSE
536550,85044,,TRUE,,,TRUE,FALSE
536552,20950,,TRUE,,,TRUE,FALSE
536554,84670,,TRUE,,,TRUE,FALSE
536995,35951,,TRUE,,,TRUE,FALSE
537001,21653,,TRUE,,,TRUE,FALSE
537875,20849,,TRUE,,,TRUE,FALSE
538133,85018C,,TRUE,,,TRUE,FALSE
538137,62095B,,TRUE,,,TRUE,FALSE
538138,72814,,TRUE,,,TRUE,FALSE
538142,84247C,,TRUE,,,TRUE,FALSE
538144,90042B,,TRUE,,,TRUE,FALSE
538241,21431,,TRUE,,,TRUE,FALSE
540560,21589,,TRUE,,,TRUE,FALSE
540683,84546,,TRUE,,,TRUE,FALSE
540987,17011A,,TRUE,,,TRUE,FALSE
542391,84455,,TRUE,,,TRUE,FALSE
542414,84967A,,TRUE,,,TRUE,FALSE
542415,84967B,,TRUE,,,TRUE,FALSE
542417,84966B,,TRUE,,,TRUE,FALSE
542418,84966A,,TRUE,,,TRUE,FALSE
